排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
343,P3 先解决具体问题,C384-180,benoxinate,Sodium channel alpha subunit,PPARD — Peroxisome proliferator-activated receptor delta,GW 0742,CTRL-087,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,确认受测单药而非荧光素复方，先PPARδ竞争/报告验证；不因给药部位相同升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CMHHMUWAYWTMGS-UHFFFAOYSA-N,CHEMBL3979,CHEMBL38508,HWVNEWGKWRGSRK-UHFFFAOYSA-N
344,P3 先解决具体问题,C384-181,migalastat,Alpha-galactosidase A,UMPS — Uridine 5'-monophosphate synthase,研究化合物 CHEMBL5653589（无通用名称）,CTRL-108,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先提出可检验的UMPS稳定/功能恢复假设，核对双功能结构域；只见抑制不作为该病正向候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LXBIFEVIBLOUGU-DPYQTVNSSA-N,CHEMBL5216,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N
345,P3 先解决具体问题,C384-301,sonidegib,Protein smoothened,NTRK2 — BDNF/NT-3 growth factors receptor,STAUROSPORINE,CTRL-105,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先查面板覆盖并实测可溶浓度；未测不作阴性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VZZJRYRQSPEMTK-CALCHBBNSA-N,CHEMBL4898,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
346,P3 先解决具体问题,C384-352,pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",BIFONAZOLE,CTRL-080,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,取回Table4/筛选图，再按真实浓度与端点决定复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QCHFTSOMWOSFHM-WPRPVWTQSA-N,CHEMBL3522,CHEMBL277535,OCAPBUJLXMYKEJ-UHFFFAOYSA-N
347,P3 先解决具体问题,C384-374,lesinurad,Solute carrier family 22 member 12,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT,CTRL-035,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,明确糖脂改变如何改善疾病，再建UGCG功能；纯结合可独立侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FGQFOYHRJSUHMR-UHFFFAOYSA-N,CHEMBL2063,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N
348,P3 先解决具体问题,C384-021,tedizolid,Bacterial 70S ribosome,"PDE10A — cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",研究化合物 CHEMBL248380（无通用名称）,CTRL-098,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先查panel；未覆盖时可用成熟PDE10A酶活候补，再确认SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XFALPSLJIHVRKE-GFCCVEGCSA-N,CHEMBL4409,CHEMBL248380,SXFYSRMCZRZBKE-MRXNPFEDSA-N
349,P3 先解决具体问题,C384-058,trospium,Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE,CTRL-106,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,先解决血红素构建和功能参照，不凭图谱排名8升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OYYDSUSKLWTMMQ-JKHIJQBDSA-N,CHEMBL5141,CHEMBL459505,SNFYYXUGUBUECJ-UHFFFAOYSA-N
350,P3 先解决具体问题,C384-182,remimazolam,GABA-A receptor; anion channel,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,先解决具体问题,先核对样品稳定性，用PDE9酶活检测，只有直接作用才安排SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CYHWMBVXXDIZNZ-KRWDZBQOSA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
351,P3 先解决具体问题,C384-353,epinephrine,Adrenergic receptor,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,研究化合物 CHEMBL3113617（无通用名称）,CTRL-040,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,先解决具体问题,纯酶与细胞产物并行，监测稳定性和氧化干扰。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UCTWMZQNUQWSLP-VIFPVBQESA-N,CHEMBL215,CHEMBL3113617,RFZWCDJCCQBGPO-UHFFFAOYSA-N
352,P3 先解决具体问题,C384-355,imipenem,Bacterial penicillin-binding protein,MMP8 — Neutrophil collagenase,CIPEMASTAT,CTRL-101,Ki,仅Ki记录，需先确认SPR结合适用性,先解决具体问题,记录稳定性及成熟MMP8功能，复方抗菌效应不作支持。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,CHEMBL4588,CHEMBL115653,GFUITADOEPNRML-SJORKVTESA-N
353,P3 先解决具体问题,C384-376,osilodrostat,"Cytochrome P450 11B1, mitochondrial",UGCG — Ceramide glucosyltransferase,ELIGLUSTAT,CTRL-035,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,UGCG产物/参考物合格，甾体作用单独记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,USUZGMWDZDXMDG-CYBMUJFWSA-N,CHEMBL2063,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N
354,P3 先解决具体问题,C384-022,tedizolid,Bacterial 70S ribosome,NTRK3 — NT-3 growth factor receptor,STAUROSPORINE,CTRL-111,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核旧panel，若TrkB确有信号再考虑TrkC交叉验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XFALPSLJIHVRKE-GFCCVEGCSA-N,CHEMBL5608,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
355,P3 先解决具体问题,C384-064,furosemide,Solute carrier family 12 member 1,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）,CTRL-088,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,先解决具体问题,确认F7a活性构建和对照；已有体系才低成本追加。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,CHEMBL3991,CHEMBL3127491,PDUMJXCNOKHQKH-SVXHESJVSA-N
356,P3 先解决具体问题,C384-256,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,PDGFRA — Platelet-derived growth factor receptor alpha,STAUROSPORINE,CTRL-026,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,明确疾病基因背景、PDGFRA构建；纯结合探索不外推疗效。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL2007,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
357,P3 先解决具体问题,C384-279,bempedoic acid,ATP-citrate synthase,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,固定待测化学种，再做CA4功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HYHMLYSLQUKXKP-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
358,P3 先解决具体问题,C384-281,macimorelin,Growth hormone secretagogue receptor type 1,MMP3 — Stromelysin-1,ILOMASTAT,CTRL-063,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,成熟MMP3对照和邻居端点确认后可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UJVDJAPJQWZRFR-DHIUTWEWSA-N,CHEMBL283,CHEMBL19611,NITYDPDXAAFEIT-DYVFJYSZSA-N
359,P3 先解决具体问题,C384-183,pantoprazole,Potassium-transporting ATPase,"NOS2 — Nitric oxide synthase, inducible",1400W,CTRL-099,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核对母药和活化形式、NOS2辅因子/构建，用酶学区分直接作用与间接NO变化。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IQPSEEYGBUAQFF-UHFFFAOYSA-N,CHEMBL4481,CHEMBL107251,RODUKNYOEVZQPR-UHFFFAOYSA-N
360,P3 先解决具体问题,C384-184,asenapine,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先核查原始受体面板是否含MR，再做配体竞争/报告验证；缺乏配对证据不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
361,P3 先解决具体问题,C384-356,palonosetron,5-hydroxytryptamine receptor 3A,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,CTRL-059,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,11B1/11B2构建和产物参考体系明确后可测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CPZBLNMUGSZIPR-NVXWUHKLSA-N,CHEMBL2722,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N
362,P3 先解决具体问题,C384-377,remimazolam,GABA-A receptor; anion channel,ACHE — Acetylcholinesterase,HUPERZINE A,CTRL-043,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先查逐药清单并核对实体稳定性，未测仍可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CYHWMBVXXDIZNZ-KRWDZBQOSA-N,CHEMBL220,CHEMBL395280,ZRJBHWIHUMBLCN-YQEJDHNASA-N
363,P3 先解决具体问题,C384-282,lifitegrast,Integrin alpha-L/beta-2 (LFA-1),TYMS — Thymidylate synthase,5-FLUORODEOXYURIDYLATE,CTRL-018,Ki,仅Ki记录，需先确认SPR结合适用性,先解决具体问题,实测可用浓度和TYMS功能，避免仅细胞增殖归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JFOZKMSJYSPYLN-QHCPKHFHSA-N,CHEMBL1952,CHEMBL886,HFEKDTCAMMOLQP-RRKCRQDMSA-N
364,P3 先解决具体问题,C384-189,copanlisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",NTRK2 — BDNF/NT-3 growth factors receptor,STAUROSPORINE,CTRL-105,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核查原始220激酶面板是否含TRKB及构建；若未测则先低成本酶学，不直接全梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PZBCKZWLPGJMAO-UHFFFAOYSA-N,CHEMBL4898,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
365,P3 先解决具体问题,C384-302,sonidegib,Protein smoothened,LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS,CTRL-054,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,实测浓度/聚集，查既有激酶面板后小筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VZZJRYRQSPEMTK-CALCHBBNSA-N,CHEMBL258,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
366,P3 先解决具体问题,C384-360,oliceridine,Mu-type opioid receptor,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE,CTRL-011,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,11B1/11B2产物与参考物测通，测单一奥利西定。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DMNOVGJWPASQDL-OAQYLSRUSA-N,CHEMBL1908,CHEMBL157101,XMAYWYJOQHXEEK-UHFFFAOYSA-N
367,P3 先解决具体问题,C384-068,tetracaine,Sodium channel alpha subunit,F12 — Coagulation factor XII,SEPIMOSTAT,CTRL-062,Ki,仅Ki记录，需先确认SPR结合适用性,先解决具体问题,F12a对照已测通才做脱靶候补，先排非特异响应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GKCBAIGFKIBETG-UHFFFAOYSA-N,CHEMBL2821,CHEMBL114586,QMRJOIUGPCVZPH-UHFFFAOYSA-N
368,P3 先解决具体问题,C384-069,tedizolid,Bacterial 70S ribosome,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN,CTRL-090,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,先查旧安全panel与HMGCR酶活；不要将他汀联用研究作为直接支持。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XFALPSLJIHVRKE-GFCCVEGCSA-N,CHEMBL402,CHEMBL1487,XUKUURHRXDUEBC-KAYWLYCHSA-N
369,P3 先解决具体问题,C384-261,eltrombopag,Thrombopoietin receptor,HCK — Tyrosine-protein kinase HCK,STAUROSPORINE,CTRL-074,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,明确宿主免疫预期方向；如只做HCK结合探索可单独定位。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XDXWLKQMMKQXPV-QYQHSDTDSA-N,CHEMBL3234,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
370,P3 先解决具体问题,C384-262,dexrazoxane,DNA topoisomerase II; Iron,MMP8 — Neutrophil collagenase,CIPEMASTAT,CTRL-101,Ki,仅Ki记录，需先确认SPR结合适用性,先解决具体问题,核对化学种和成熟MMP8参考物，再做特异性反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL4588,CHEMBL115653,GFUITADOEPNRML-SJORKVTESA-N
371,P3 先解决具体问题,C384-362,remimazolam,GABA-A receptor; anion channel,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核对稳定性/实体后测FAAH并归因母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CYHWMBVXXDIZNZ-KRWDZBQOSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
372,P3 先解决具体问题,C384-381,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,去长链酰化功能与参考物确认后测纯母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
373,P4 降低投入／暂缓首批,C384-098,edoxaban,Coagulation factor X,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）,CTRL-088,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,有证据支持降低投入,查原始F7a选择性panel；若匹配条件已有高浓度阴性，避免重复SPR投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HGVDHZBSSITLCT-JLJPHGGASA-N,CHEMBL3991,CHEMBL3127491,PDUMJXCNOKHQKH-SVXHESJVSA-N
374,P4 降低投入／暂缓首批,C384-225,fluvoxamine,Sodium-dependent serotonin transporter,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,CTRL-031,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,有证据支持降低投入,核对原拟合、物种和计划浓度；若测定义为弱活性复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CJOFXWAVKWHTFT-XSFVSMFZSA-N,CHEMBL2039,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N
375,P4 降低投入／暂缓首批,C384-011,fenofibric acid,Peroxisome proliferator-activated receptor alpha,CYP19A1 — Aromatase,ANASTROZOLE,CTRL-022,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,有证据支持降低投入,先核实际药物结构与CYP19A1构建，若研究直接抑制则明确属于机制探索，不以治疗骨质疏松为理由放行。,完整InChIKey对应ChEMBL981酸实体；源标签为choline fenofibrate，采购形式必须核实。,MQOBSOSZFYZQOK-UHFFFAOYSA-N,CHEMBL1978,CHEMBL1399,YBBLVLTVTVSKRW-UHFFFAOYSA-N
376,P4 降低投入／暂缓首批,C384-148,avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,有证据支持降低投入,先核验原始11种PDE面板的PDE9条件；仅在提出不同位点/非催化结合假设时再投入SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WEAJZXNPAWBCOA-INIZCTEOSA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
377,P4 降低投入／暂缓首批,C384-372,riluzole,Sodium channel alpha subunit,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,CTRL-031,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,有证据支持降低投入,核对TableS3母药MAOB浓度；保留时定义选择性复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FTALBRSUTCGOEG-UHFFFAOYSA-N,CHEMBL2039,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N
378,P4 降低投入／暂缓首批,C384-176,dexmethylphenidate,Sodium-dependent dopamine transporter; Sodium-dependent noradrenaline transporter,AKT3 — RAC-gamma serine/threonine-protein kinase,STAUROSPORINE,CTRL-103,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,有证据支持降低投入,先核实疾病边类型与所需方向，使用dexmethylphenidate而非前药；无直接AKT3证据不优先。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DUGOZIWVEXMGBE-CHWSQXEVSA-N,CHEMBL4816,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
379,P4 降低投入／暂缓首批,C384-248,efavirenz,Human immunodeficiency virus type 1 reverse transcriptase,AR — Androgen receptor,TESTOSTERONE,CTRL-009,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,有证据支持降低投入,若保留定义AR机制研究，不能将表达变化或ER作用当AR结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XPOQHMRABVBWPR-ZDUSSCGKSA-N,CHEMBL1871,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
380,P4 降低投入／暂缓首批,C384-250,avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",ROLIPRAM,CTRL-068,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,有证据支持降低投入,核对PDE4亚型构建和浓度范围后决定弱活动复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WEAJZXNPAWBCOA-INIZCTEOSA-N,CHEMBL288,CHEMBL63,HJORMJIFDVBMOB-UHFFFAOYSA-N
381,P4 降低投入／暂缓首批,C384-065,metformin,"Glycerol-3-phosphate dehydrogenase, mitochondrial; Mitochondrial complex I (NADH dehydrogenase)",JAK2 — Tyrosine-protein kinase JAK2,RUXOLITINIB,CTRL-069,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,有证据支持降低投入,将本对后置；先核MRC构建与本次是否一致，若只追直接抑制且条件相近，避免重复投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CHEMBL2971,CHEMBL1789941,HFNKQEVNSGCOJV-OAHLLOKOSA-N
382,P4 降低投入／暂缓首批,C384-378,deutetrabenazine,Synaptic vesicular amine transporter,COMT — Catechol O-methyltransferase,研究化合物 CHEMBL5653589（无通用名称）,CTRL-029,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,有证据支持降低投入,若做仅定义COMT机制探索；母药/代谢体明确后再评原机制冲突。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MKJIEFSOBYUXJB-WEZHFFAMSA-N,CHEMBL2023,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N
383,P4 降低投入／暂缓首批,C384-260,morphine,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,CTRL-033,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,有证据支持降低投入,确认历史实验浓度，定义为弱活性复核或正交结合验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BQJCRHHNABKAKU-KBQPJGBKSA-N,CHEMBL205,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N
384,P4 降低投入／暂缓首批,C384-380,duloxetine,Sodium-dependent noradrenaline transporter; Sodium-dependent serotonin transporter,ACHE — Acetylcholinesterase,HUPERZINE A,CTRL-043,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,有证据支持降低投入,核对原人AChE浓度和端点，按AChE/BChE选择性复核定位。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CHEMBL220,CHEMBL395280,ZRJBHWIHUMBLCN-YQEJDHNASA-N
